gene_names	mm_24	mm_9	mm_24_rep1	mm_9_rep1	mm_24_rep2	mm_9_rep2	mm_9_rep3
ENSMUSG00000025902	Sox17	2.52435496357782	2.65476523233722	1.87314663474102	2.18587599866821	2.25969449711152	2.35981597429965	3.01051470878577
ENSMUSG00000033845	Mrpl15	3.2919966706529	3.86494348369114	3.53260224479614	3.61492451925651	3.46396898413013	3.93603903724037	3.89975305711107
ENSMUSG00000025903	Lypla1	5.10976087337137	5.43816712577697	4.94449871273372	5.24004657620772	5.32784203679844	5.33527871185743	5.28291130483832
ENSMUSG00000033813	Tcea1	3.35459388905495	3.46989198604217	3.02625655865686	3.76716477123379	3.04357391837261	3.63734663924749	4.04718716085173
ENSMUSG00000033793	Atp6v1h	2.62778655028872	2.56573672417986	1.96567988209465	2.57129970144473	2.06825022871044	2.05240466870259	2.58087886002681
ENSMUSG00000090031	4732440D04Rik	0.59974576857984	0.123101551309379	-0.623440266754546	0.354897485854643	-0.174500945992214	0.00171238055006384	0.561059955252116
ENSMUSG00000025907	Rb1cc1	4.1612084514809	3.70962517980152	3.42450943423864	3.82749162965898	4.14137073995795	3.84577159967301	4.12003380134234
ENSMUSG00000051285	Pcmtd1	5.36453651013628	5.32103081930508	4.49638671526732	5.24351307263684	5.2031659150883	5.36632789900557	5.3643683743869
ENSMUSG00000079671	2610203C22Rik	0.181502641854191	-1.18645663360385	-1.47454241382	-0.540118382562142	-0.48087763799629	-0.978253566645183	-0.342308644866275
ENSMUSG00000061024	Rrs1	3.48058719858177	3.30255963655357	3.02399026637867	3.4675987516246	3.53817723962396	3.68028917116273	3.71126605509128
ENSMUSG00000025911	Adhfe1	4.89318537093643	4.58491025402969	4.13363779588366	3.61395035319873	4.53734052930798	4.91853593828236	4.40173987916792
ENSMUSG00000045210	Vcpip1	2.23996617409358	2.0786594540242	1.32738109472613	2.25411413460249	2.03736414193822	1.77267839520374	2.35151350766545
ENSMUSG00000025915	Sgk3	1.23097536292971	1.23517312673321	0.616996647209746	0.794466038631487	0.899971044140159	1.09208213364431	0.684393986540041
ENSMUSG00000098234	Snhg6	0.826386399593765	1.13160112591509	1.23209851804463	1.4468506770803	1.44446746394374	1.50486234423743	1.63496324003859
ENSMUSG00000025917	Cops5	5.64564185113379	5.68227872824939	5.42602352194442	5.29980330185807	5.64302332644274	5.65870152400947	5.68185360060694
ENSMUSG00000056763	Cspp1	0.519413001635897	-0.0330416655331867	-0.418273829692062	0.416430677569601	-0.27159269353217	-0.337002861387813	0.682575336796894
ENSMUSG00000067851	Arfgef1	3.76734966130044	3.82005729803712	3.10973435817411	3.45950734593952	3.53477775706236	3.78377927399931	3.73001006966903
ENSMUSG00000048960	Prex2	1.32828791289922	0.887186219497242	0.903401430762496	1.31237789218316	1.07784893279252	0.477118516453377	1.50836690861852
ENSMUSG00000016918	Sulf1	0.833515067015416	1.40676425416761	0.253825995825466	2.36544647937085	0.125695132438675	1.1829368683203	1.85707495382826
ENSMUSG00000025938	Slco5a1	1.87594024802784	2.29033854658743	2.04234357514771	2.40823017783659	2.51538489916104	2.47806561484529	2.0061046352597
ENSMUSG00000005886	Ncoa2	1.55709001081186	1.62846590864712	0.947926611623792	1.51591016417323	1.11908639119462	0.746904830550655	1.47577719191655
ENSMUSG00000025935	Tram1	4.04586269098044	4.41221985172358	3.57798681771857	4.81495096887793	4.15343173174804	4.39058501080443	4.69186456168026
ENSMUSG00000025937	Lactb2	3.97548083881822	4.15245221501401	3.63331329696858	3.66741150307276	3.88768108070257	3.91781638250116	4.12470825228432
ENSMUSG00000025932	Eya1	3.15403774631758	3.58103190073279	2.81609167549687	3.45513831273997	2.86191420031695	3.73271322499029	3.39600280806529
ENSMUSG00000025930	Msc	-0.376162090101719	0.232890019359605	0.0288526739516186	0.85489999448075	-0.138457475568448	0.0795025066855111	0.535080578876308
ENSMUSG00000092083	Kcnb2	-0.0506003051719048	-2.01065186758495	-1.62862892915642	-0.960592935675372	-1.80685238984412	-2.01381970297012	-0.473895280428433
ENSMUSG00000025925	Terf1	1.28918512590493	0.770579418885255	-0.0271221437646041	0.961092572551085	0.737625914724532	-0.910296756449409	0.781214412437585
ENSMUSG00000043716	Rpl7	5.963458359179	6.01209563161542	5.53128570966634	6.06025052792135	5.70812440060079	6.01592264879628	6.02942730401021
ENSMUSG00000025921	Rdh10	1.7020070560173	1.42876572314211	0.890461032655722	1.59718816044183	0.0824424548113321	1.30787986848213	1.83398404133257
ENSMUSG00000025920	Stau2	3.67235535622911	3.70524241050932	3.59464654452871	4.05071738145926	4.11047348839461	4.12671565412105	3.92298410336317
ENSMUSG00000025939	Ube2w	1.88215941076551	2.53369856427868	1.84755676465888	2.48997155480776	1.93594467538271	2.73285983366181	2.86274857346184
ENSMUSG00000079658	Eloc	5.16442468975838	5.19759191081626	4.77894707391344	4.78415062083382	5.17653584996484	5.0664876271451	5.10400336611076
ENSMUSG00000025940	Tmem70	6.33529738547209	6.70104202560216	6.34767655504168	6.56407217374366	6.37681344304694	6.70911140598345	6.80723519342924
ENSMUSG00000042686	Jph1	6.08190169506173	5.97770306347524	5.65895883513445	5.66397276111872	5.90162620128037	5.95705060535948	5.72092133955895
ENSMUSG00000127806	ENSMUSG00000127806	2.11929340238747	2.45784507650541	0.975006233700057	2.46231943798239	0.938375247943934	2.21025037052701	2.03791067731956
ENSMUSG00000100110	Gm28783	1.98287252131551	1.69885169788655	0.979183477747778	2.11993075655075	2.15027435742461	1.73985949950544	1.06540012057232
ENSMUSG00000025777	Gdap1	2.33245727423524	3.22105859951259	1.74703677691924	2.79271723427591	2.44934231002317	2.76799440773173	2.565203033901
ENSMUSG00000085125	Gm16070	-0.733093909915937	-1.67378855306381	-1.0278802115923	-0.9886796851561	-0.916016527838298	-2.01381970297012	-0.239079651885763
ENSMUSG00000025776	Crispld1	0.520367393209213	0.599146175519419	0.260564424607583	0.332374365715506	0.175504995943395	0.0791021080549434	1.54360090325812
ENSMUSG00000043760	Pkhd1	-1.03564153571883	-2.01065186758495	-1.90901986439069	-0.711042074101702	-1.97374476214776	-2.01381970297012	-0.711801413293841
ENSMUSG00000099906	Lincmd1	-0.991577594197892	-0.971957370034712	-0.266388101896389	1.42627374497519	-0.763081328910424	-1.8295607320072	-0.192680549798609
ENSMUSG00000041859	Mcm3	1.51778496758536	1.96403200536881	0.790294463525402	2.53117307630284	1.4203938514563	1.94148253857138	1.33520510353746
ENSMUSG00000025931	Paqr8	-0.0607825265243775	-0.963482389970601	-1.16500857461081	0.346785623810121	-0.374931886409293	-0.850208928813409	-0.180760205944004
ENSMUSG00000041779	Tram2	0.359845943239463	1.16212832377789	-0.0992328864047849	2.25269388041467	0.273100130130622	0.854269429484802	0.758602360226011
ENSMUSG00000025933	Tmem14a	0.888524227558452	1.2210306169321	0.790033254505808	1.10435515902205	0.897807916836406	-0.0882833000481149	1.50636727766998
ENSMUSG00000028033	Kcnq5	1.85136950083393	2.20308124840198	1.89255512131149	2.02552638862995	1.68747587037993	1.97269965781936	1.76971418508646
ENSMUSG00000101227	Gm29506	0.501761198609184	-1.26626408053114	0.339213804404057	-0.550475070225453	0.413134824338165	-0.694369913150972	-1.26475884862579
